,Adj_Close,Close,High,Low,Open,Volume
2000-01-04,49.7395,105.5188,108.1474,103.6412,103.6412,45805400
2000-01-05,48.6774,103.2658,105.8944,102.5146,103.6412,30484500
2000-01-06,51.6865,109.6494,109.6494,104.3922,104.3922,76855600
2000-01-07,50.2705,106.6454,108.8984,105.1432,108.8984,38896500
2000-01-10,53.4567,113.4046,113.4046,107.0208,107.7718,61776200
2000-01-11,54.5187,115.6576,120.9147,114.9066,120.9147,136726000
2000-01-12,58.0589,123.1679,123.1679,115.6576,117.1597,84698300
2000-01-13,55.9348,118.6617,123.1679,117.1597,123.1679,61860000
2000-01-14,55.5808,117.9107,121.6659,115.6576,120.1637,48687300
2000-01-17,58.4129,123.9189,126.9229,123.1679,126.1719,58982200
2000-01-18,58.7669,124.6699,127.6741,123.1679,125.4209,63109500
2000-01-19,55.9348,118.6617,123.9189,117.9107,123.1679,52636100
2000-01-20,55.5808,117.9107,119.4127,115.6576,117.1597,26154000
2000-01-21,55.5808,117.9107,121.6659,117.9107,118.6617,33731000
2000-01-24,55.2268,117.1597,120.1637,117.1597,120.1637,21191300
2000-01-25,54.1647,114.9066,117.1597,114.9066,116.4086,20728500
2000-01-26,55.2268,117.1597,118.6617,115.6576,116.4086,20389100
2000-01-27,54.5187,115.6576,118.6617,115.6576,117.9107,19763500
2000-01-28,55.2268,117.1597,120.1637,114.9066,114.9066,34447100
2000-01-31,56.2888,119.4127,121.6659,119.4127,120.1637,31631400
2000-02-01,56.2888,119.4127,120.9147,117.9107,120.9147,22296800
2000-02-09,56.9968,120.9147,123.1679,120.1637,122.4169,39988400
2000-02-10,56.2888,119.4127,123.1679,118.6617,120.9147,21824000
2000-02-11,57.3509,121.6659,124.6699,118.6617,120.1637,60152700
2000-02-14,56.6428,120.1637,123.9189,119.4127,122.4169,41433000
2000-02-15,55.9348,118.6617,120.9147,117.1597,120.1637,18762600
2000-02-16,55.5808,117.9107,120.1637,117.9107,120.1637,18654100
2000-02-17,55.5808,117.9107,120.1637,117.9107,118.6617,23930000
2000-02-18,54.8727,116.4086,119.4127,116.4086,119.4127,20342700
2000-02-21,51.6865,109.6494,114.9066,109.6494,114.9066,23363800
2000-02-22,53.1026,112.6536,112.6536,108.523,108.8984,27871500
2000-02-23,51.8636,110.025,114.1556,110.025,112.6536,18806800
2000-02-24,51.8636,110.025,111.9026,109.6494,111.9026,15021500
2000-02-25,52.0406,110.4004,112.27799999999999,110.4004,110.4004,14437500
2000-02-29,52.3946,111.1514,113.4046,111.1514,113.4046,11306200
